symbol,series,stock_date,previous_close,open_price,high_price,low_price,last_traded_price,close_price,avg_price,total_trade_qty,turnover_in_lacs,no_of_trades,delivered_qty,delivered_percentage,52_week_high,52_week_high_date,52_week_low,52_week_low_date
MEGASOFT,EQ,2024-10-04,65.88,65.0,68.93,64.3,68.65,67.73,66.72,327603,218.59,1751, 190772,58.23,107.25,2024-03-05,41.0,2023-10-26
MEGASTAR,EQ,2024-10-04,268.2,269.6,277.5,264.5,264.5,266.1,269.61,7748,20.89,421, 5540,71.5,404.95,2023-11-28,215.0,2024-06-04
MENONBE,EQ,2024-10-04,127.5,128.8,133.8,127.15,130.0,131.02,130.82,79529,104.04,3084, 38518,48.43,158.5,2023-10-20,108.1,2024-03-13
METALIETF,EQ,2024-10-04,10.23,10.32,10.33,10.01,10.13,10.14,10.16,10101090,1026.58,5898, 6954669,68.85,10.67,2024-09-27,8.98,2024-08-20
METROBRAND,EQ,2024-10-04,1243.0,1244.95,1264.9,1223.6,1253.5,1255.25,1245.18,101070,1258.5,12964, 48092,47.58,1441.2,2023-11-30,990.05,2024-06-04
METROPOLIS,EQ,2024-10-04,2243.35,2243.35,2299.0,2219.2,2232.05,2234.85,2266.07,284792,6453.59,36921, 72855,25.58,2271.0,2024-10-03,1360.05,2023-10-30
MFSL,EQ,2024-10-04,1169.9,1169.5,1189.95,1158.15,1164.3,1160.8,1171.28,927330,10861.68,31864, 604228,65.16,1212.85,2024-09-27,854.25,2024-01-31
MGL,EQ,2024-10-04,1946.75,1955.0,1955.0,1893.65,1895.05,1910.35,1919.56,524931,10076.34,35930, 212761,40.53,1988.0,2024-09-25,978.75,2023-10-26
MHLXMIRU,EQ,2024-10-04,164.67,166.0,166.0,159.01,165.5,162.93,161.73,13528,21.88,630, 6591,48.72,376.0,2024-04-15,163.57,2024-10-03
MHRIL,EQ,2024-10-04,389.65,388.85,395.2,383.3,390.0,389.35,390.03,139158,542.76,8961, 69980,50.29,505.0,2024-06-21,347.75,2023-12-21
MID150BEES,EQ,2024-10-04,226.39,226.99,227.97,221.0,226.5,225.43,224.25,721450,1617.86,15341, 529800,73.44,235.65,2024-10-01,143.8,2023-10-26
MID150CASE,EQ,2024-10-04,10.92,11.05,11.05,10.65,11.0,10.84,10.79,591334,63.79,3306, 489919,82.85,11.98,2024-06-19,9.11,2024-08-05
